p.host,p.host.sl,Parent_ID ,p.wl,p.tl,p.td,p.al,p.hd,p.hl,p.ms,o.host,o.host.sl,Offspring_ID,o.wl,o.tl,o.td,o.al,o.hd,o.hl,o.ms
C. maculata,small,1_C7_into_Cm_14_G3,2.8716,1.1718,0.838,1.9033,0.4696,0.7224,0.8,C. maculata,small,1_C7_into_Cm_19_G4,3.1892,1.6558,1.2358,2.5087,0.7561,1.0449,2
C. maculata,small,2_Hc_into_Cm_3_G2,3.1977,1.467,0.9121,2.0315,0.5982,0.8574,0.5,C. maculata,small,2_Hc_into_Cm_8_G3,2.9078,1.2282,0.8033,1.9146,0.4885,0.7563,0.6
C. maculata,small,2_Hc_into_Cm_12_G2,2.932,1.816,1.0538,2.5526,0.5573,0.9272,0.7,C. maculata,small,2_Hc_into_Cm_9_G3,2.875,1.3972,0.8829,2.5017,0.4809,0.8526,1.7
C. maculata,small,1_C7_into_Cm_7_G2,2.0785,1.316,0.8622,2.259,0.5524,0.7949,0.4,C. maculata,small,1_C7_into_Cm_3_G3,3.7744,1.5158,0.9572,2.5386,0.5404,0.8327,0.8
C. maculata,small,1_C7_into_Cm_18_G2,3.5233,1.4953,1.0745,2.2396,0.6081,0.8687,0.3,C. maculata,small,1_C7_into_Cm_12_G3,2.8214,1.2627,0.8533,1.7828,0.5219,0.7278,0.4
C. septempunctata,large,1_Cm_into_C7_2_G1_3A_1,2.264,1.2997,0.7553,1.9111,0.4515,0.6962,,C. maculata,small,1_C7_into_Cm_23_G1_2Ab2,3.2245,1.441,0.9267,2.4216,0.5195,0.8149,0.6
C. septempunctata,large,1_Cm_into_C7_2_G1_3A_1,2.264,1.2997,0.7553,1.9111,0.4515,0.6962,,C. maculata,small,1_C7_into_Cm_22_G1_2Aa2,2.6647,1.2905,0.8423,2.1447,0.5341,0.7365,1.6
C. septempunctata,large,1_Cm_into_C7_3_G2_3Aa4,3.1558,1.595,1.1298,2.3446,0.613,0.9286,1.7,C. maculata,small,1_C7_into_Cm_24_G1_2Aa5,3.006,1.305,0.8668,2.0118,0.5738,0.8537,0.5
C. septempunctata,large,1_Cm_into_C7_3_G2_3Aa4,3.1558,1.595,1.1298,2.3446,0.613,0.9286,1.7,C. maculata,small,1_C7_into_Cm_25_G1_2Ab5,3.3953,1.4112,1.0163,1.8795,0.7455,0.9623,1.2
C. septempunctata,large,1_Cm_into_C7_2_G1_3A_1,2.264,1.2997,0.7553,1.9111,0.4515,0.6962,,C. maculata,small,1_C7_into_Cm_22_G1_2Aa2,2.6647,1.2905,0.8423,2.1447,0.5341,0.7365,1.6
